,,,,,,Occupancy,Occupancy,Occupancy
3,Off,2,Yes,3,0.39,0.635167464114832,0.0561660561660562,0.317780580075662
3,Off,2,Yes,4,0.39,0.547846889952153,0.518925518925519,0.64312736443884
3,Off,2,Yes,5,0.39,0.480861244019139,0.488400488400488,0.602774274905422
3,Off,2,Yes,6,0.39,0.503588516746411,0.448107448107448,0.41109709962169
3,Off,2,Yes,7,0.39,0.375598086124402,0.63980463980464,0.194199243379571
3,Off,2,Yes,8,0.39,0.552631578947368,0.26984126984127,0.42875157629256
3,Off,2,Yes,9,0.39,0.575358851674641,0.427350427350427,0.549810844892812
3,Off,2,Yes,10,0.39,0.577751196172249,0.548229548229548,0.506935687263556
3,Off,2,Yes,11,0.39,0.395933014354067,0.388278388278388,0.390920554854981
3,Off,2,Yes,12,0.39,0.508373205741627,0.449328449328449,0.551071878940731
3,Off,2,Yes,13,0.39,0.494019138755981,0.288156288156288,0.373266078184111
3,Off,2,Yes,14,0.39,0.447368421052632,0.465201465201465,0.501891551071879
3,Off,2,Yes,15,0.39,0.461722488038278,0.518925518925519,0.409836065573771
3,On,2,Yes,1,0.39,0.596205962059621,0.306704707560628,0.79746835443038
3,On,2,Yes,2,0.39,0.659891598915989,0.232524964336662,0.59774964838256
3,On,2,Yes,3,0.39,0.373983739837398,0.0456490727532097,0.438818565400844
3,On,2,Yes,4,0.39,0.668021680216802,0.0099857346647646,0.187060478199719
3,On,2,Yes,5,0.39,0.596205962059621,0.592011412268188,0.513361462728551
3,On,2,Yes,6,0.39,0.623306233062331,0.0,0.745428973277075
3,On,2,Yes,7,0.39,0.448509485094851,0.512125534950071,0.776371308016878
3,On,2,Yes,8,0.39,0.536585365853659,0.0057061340941512,0.113924050632911
3,On,2,Yes,9,0.39,0.639566395663957,0.255349500713267,0.787623066104079
3,On,2,Yes,10,0.39,0.490514905149051,0.345221112696148,0.511954992967651
3,On,2,Yes,11,0.39,0.252032520325203,0.152639087018545,0.30239099859353
3,On,2,Yes,12,0.39,0.613821138211382,0.156918687589158,0.376933895921238
3,On,2,Yes,13,0.39,0.0514905149051491,0.0827389443651926,0.0281293952180028
3,On,2,Yes,14,0.39,0.934959349593496,0.542082738944365,0.659634317862166
3,On,2,Yes,15,0.39,0.257452574525745,0.446504992867332,0.282700421940928
4,Off,2,Yes,1,0.39,0.618469015795869,0.363966142684401,0.469413233458177
4,Off,2,Yes,2,0.39,0.455650060753341,0.642079806529625,0.539325842696629
4,Off,2,Yes,3,0.39,0.396111786148238,0.382103990326481,0.484394506866417
4,Off,2,Yes,4,0.39,0.714459295261239,0.419588875453446,0.481897627965044
4,Off,2,Yes,5,0.39,0.46415552855407,0.430471584038694,0.134831460674157
4,Off,2,Yes,6,0.39,0.701093560145808,0.52962515114873,0.514357053682896
4,Off,2,Yes,7,0.39,0.6318347509113,0.325272067714631,0.49438202247191
4,Off,2,Yes,8,0.39,0.353584447144593,0.307134220072551,0.686641697877653
4,Off,2,Yes,9,0.39,0.511543134872418,0.525997581620314,0.317103620474407
4,Off,2,Yes,10,0.39,0.490886998784933,0.532043530834341,0.564294631710362
4,Off,2,Yes,11,0.39,0.594167679222357,0.0725513905683192,0.430711610486891
4,Off,2,Yes,12,0.39,0.456865127582017,0.3409915356711,0.566791510611735
4,Off,2,Yes,13,0.39,0.436208991494532,0.704957678355502,0.466916354556804
4,Off,2,Yes,14,0.39,0.311057108140948,0.871825876662636,0.526841448189763
4,Off,2,Yes,15,0.39,0.448359659781288,0.252720677146312,0.0461922596754057
4,On,2,Yes,1,0.39,0.933621933621934,0.311018131101813,0.686246418338109
4,On,2,Yes,2,0.39,0.363636363636364,0.525801952580195,0.564469914040115
4,On,2,Yes,3,0.39,0.441558441558442,0.384937238493724,0.404011461318052
4,On,2,Yes,4,0.39,0.67965367965368,0.337517433751743,0.755014326647565
4,On,2,Yes,5,0.39,0.284271284271284,0.776847977684798,0.71919770773639
4,On,2,Yes,6,0.39,0.953823953823954,0.594142259414226,0.73352435530086
4,On,2,Yes,7,0.39,0.274170274170274,0.778242677824268,0.455587392550143
4,On,2,Yes,8,0.39,0.712842712842713,0.536959553695955,0.512893982808023
4,On,2,Yes,9,0.39,0.500721500721501,0.423988842398884,0.578796561604584
4,On,2,Yes,10,0.39,0.492063492063492,0.622036262203626,0.724928366762178
4,On,2,Yes,11,0.39,0.412698412698413,0.304044630404463,0.373925501432665
4,On,2,Yes,12,0.39,0.507936507936508,0.412831241283124,0.421203438395415
4,On,2,Yes,13,0.39,0.734487734487735,0.868898186889819,0.565902578796562
4,On,2,Yes,14,0.39,0.347763347763348,0.95258019525802,0.680515759312321
4,On,2,Yes,15,0.39,0.343434343434343,0.461645746164575,0.0845272206303725
